"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM140",1.60307675043072e-56,2.03097900266651,0.489,0.039,3.27428426275474e-52,"17","TMEM140"
"TGFB1I1",5.93925534728288e-53,1.22121900232081,0.289,0.014,1.21309290468253e-48,"17","TGFB1I1"
"HIST1H3H",1.0010486087372e-51,1.89912221848315,0.467,0.039,2.04464178334574e-47,"17","HIST1H3H"
"AP003068.2",5.26435623225559e-51,1.49983862503392,0.378,0.025,1.0752447604382e-46,"17","AP003068.2"
"PRKAR1B",9.99610616902276e-43,1.07559091057007,0.378,0.03,2.0417046850229e-38,"17","PRKAR1B"
"PGRMC1",1.23765631463917e-41,2.34299858701362,0.711,0.122,2.52791302265051e-37,"17","PGRMC1"
"MTURN",1.59448571826521e-41,2.63311737668224,0.8,0.163,3.25673707955669e-37,"17","MTURN"
"NT5M",1.97419347926539e-40,1.32566647250383,0.378,0.032,4.03229018139956e-36,"17","NT5M"
"MMD",3.08646578370359e-32,2.07857033993614,0.578,0.099,6.30410636321458e-28,"17","MMD"
"DAB2",5.15154439005052e-31,1.92147692388038,0.533,0.085,1.05220294166782e-26,"17","DAB2"
"MPIG6B",1.25558634305564e-24,1.86959778615177,0.667,0.181,2.56453510569114e-20,"17","MPIG6B"
"MARCH2",1.93646526800347e-24,2.02760090028869,0.622,0.157,3.95523030989708e-20,"17","MARCH2"
"PNMA1",3.73791572013142e-23,1.28944780138064,0.356,0.049,7.63469285836843e-19,"17","PNMA1"
"C12orf76",1.77993965788346e-21,2.02393851812786,0.6,0.161,3.63552675122697e-17,"17","C12orf76"
"DAP",1.7555392923117e-19,2.17476280623932,0.556,0.149,3.58568900454666e-15,"17","DAP"
"SCN1B",2.16988887163195e-19,1.52950088759595,0.4,0.073,4.43199802030826e-15,"17","SCN1B"
"TSPAN33",2.31393388052303e-19,1.52643898691007,0.422,0.082,4.72620995096829e-15,"17","TSPAN33"
"SLA2",2.25858288034742e-18,1.03684949396267,0.311,0.045,4.61315553310961e-14,"17","SLA2"
"ZNF778",2.45554643235803e-18,1.17756278511055,0.311,0.047,5.01545358809127e-14,"17","ZNF778"
"SENCR",1.39310943748731e-17,1.21689514267206,0.311,0.049,2.84542602606784e-13,"17","SENCR"
"NT5C3A",8.31723967404919e-15,2.12074881733299,0.6,0.223,1.69879620342455e-10,"17","NT5C3A"
"RSU1",7.22244697116976e-14,1.74009332016723,0.578,0.225,1.47518479386142e-09,"17","RSU1"
"HIST1H2AE",5.02250698679792e-13,1.33885095848999,0.378,0.093,1.02584705205348e-08,"17","HIST1H2AE"
"TMEM91",1.97884549076136e-12,1.33227166390103,0.378,0.094,4.04179191488007e-08,"17","TMEM91"
"MAGED2",5.10570666855903e-12,1.52016371865438,0.511,0.186,1.04284058705318e-07,"17","MAGED2"
"MGAT4B",6.16150299203681e-12,1.29067030902048,0.467,0.159,1.25848698612352e-07,"17","MGAT4B"
"HIST1H2BC",2.27133742850745e-11,1.2197018183837,0.311,0.071,4.63920669772647e-07,"17","HIST1H2BC"
"TAX1BP3",3.44487064252084e-10,1.44702069022697,0.467,0.172,7.03614828734882e-06,"17","TAX1BP3"
"HIST2H2BE",7.36331504990364e-10,1.18127069590415,0.356,0.101,1.50395709894282e-05,"17","HIST2H2BE"
"HTATIP2",9.5638559717646e-10,1.68363533517855,0.489,0.206,1.95341758223292e-05,"17","HTATIP2"
"ARHGAP18",2.23654468200696e-09,0.733267705753945,0.311,0.082,4.56814251299922e-05,"17","ARHGAP18"
"FURIN",7.81822669216518e-08,0.912084649192731,0.333,0.11,0.00159687280187474,"17","FURIN"
"HIST1H4H",1.16299275484644e-07,1.03067229440496,0.267,0.074,0.00237541270177386,"17","HIST1H4H"
"CCDC92",2.32593499754556e-07,0.787197052884328,0.311,0.101,0.00475072223248681,"17","CCDC92"
"WBP2",2.34675130340438e-07,1.47766331842365,0.489,0.259,0.00479323953720344,"17","WBP2"
"SNN",2.89164369077979e-07,0.96034281204896,0.267,0.079,0.00590618223841772,"17","SNN"
"PLA2G12A",2.92289812751255e-07,0.834668754044921,0.267,0.078,0.00597001942544439,"17","PLA2G12A"
"GLA",6.80343695605238e-07,1.17286940883208,0.289,0.093,0.013896019982737,"17","GLA"
"RUFY1",1.13849778956254e-06,1.1970735916053,0.422,0.201,0.023253817351815,"17","RUFY1"
"LINC01003",2.99686352908695e-06,0.712885622798404,0.289,0.102,0.061210937581601,"17","LINC01003"
"USP48",3.29688828421924e-06,-0.460025446665954,0,0.337,0.067338943205178,"17","USP48"
"CYB5R3",7.48655253193112e-06,1.12559483503746,0.467,0.276,0.152912835464693,"17","CYB5R3"
"USP16",9.61402470396723e-06,-0.499278592281733,0.111,0.448,0.196366454578531,"17","USP16"
"MMADHC",1.46808733266957e-05,-0.415005277625821,0.067,0.397,0.299856837697759,"17","MMADHC"
"CCDC59",1.61194228671996e-05,-0.303295496788225,0.044,0.387,0.329239212062551,"17","CCDC59"
"TTC1",1.64915392498135e-05,-0.444516541085418,0.067,0.386,0.336839689177441,"17","TTC1"
"AGPAT1",1.95170185635606e-05,1.13369557081296,0.4,0.206,0.398635104160725,"17","AGPAT1"
"COPB1",2.44682605665567e-05,-0.329265595280266,0.089,0.419,0.499764222071921,"17","COPB1"
"POLK",2.50369942600797e-05,-0.407319419483592,0,0.291,0.511380607762128,"17","POLK"
"EVA1B",2.90555518764379e-05,1.49956498822143,0.267,0.099,0.593459647076245,"17","EVA1B"
"ATP6V1D",3.01412782746878e-05,-0.394236434756805,0.022,0.318,0.615635608760498,"17","ATP6V1D"
"AKIRIN2",3.0725430281386e-05,1.12010523090106,0.4,0.219,0.627566913497309,"17","AKIRIN2"
"SRP19",4.3869179013834e-05,-0.342776406868607,0.133,0.475,0.896027981357558,"17","SRP19"
"PDLIM7",6.63896097210784e-05,1.00942328828375,0.267,0.106,1,"17","PDLIM7"
"MPLKIP",8.12765874187144e-05,-0.362453943143136,0.022,0.296,1,"17","MPLKIP"
"NELFE",8.72811593915346e-05,-0.379330566228343,0.044,0.327,1,"17","NELFE"
"PPP2CA",8.75178106344528e-05,-0.282362694582036,0.067,0.374,1,"17","PPP2CA"
"RNF11",0.000102068948510311,0.754284643969664,0.289,0.124,1,"17","RNF11"
"COPB2",0.000112604952666646,-0.373186005114152,0.067,0.348,1,"17","COPB2"
"EIF2B1",0.000120530739425036,-0.324951719790836,0,0.253,1,"17","EIF2B1"
"GOPC",0.000124718714142181,-0.312988443105942,0.022,0.294,1,"17","GOPC"
"SAMD4B",0.000132626900947818,-0.343812061445262,0.022,0.29,1,"17","SAMD4B"
"CHCHD7",0.000169312549617131,-0.359493838264149,0.044,0.31,1,"17","CHCHD7"
"NFKB1",0.000179431824885996,-0.352103195920756,0.022,0.275,1,"17","NFKB1"
"GTF2F2",0.000193779341871479,-0.348379323899377,0.044,0.305,1,"17","GTF2F2"
"GOSR1",0.000210803585112561,-0.345205456857109,0.044,0.303,1,"17","GOSR1"
"KIFAP3",0.000238509860236043,1.04483584838294,0.333,0.163,1,"17","KIFAP3"
"AP3B1",0.000241325130043132,-0.332153199625626,0.022,0.275,1,"17","AP3B1"
"DERL2",0.000258761551984719,-0.337769579629906,0.022,0.264,1,"17","DERL2"
"MORF4L2",0.000260984198125761,-0.269861198745063,0.022,0.276,1,"17","MORF4L2"
"PITPNM2",0.000261354144736313,0.838573656215173,0.289,0.128,1,"17","PITPNM2"
"RBM33",0.000281992092137021,-0.36785502761237,0.044,0.297,1,"17","RBM33"
"RDH11",0.000303990043470428,0.90223700049952,0.378,0.216,1,"17","RDH11"
"UBE2J2",0.000348622416400871,-0.322970788924872,0.044,0.293,1,"17","UBE2J2"
"FAM208B",0.000383339828454697,-0.296236828564155,0.022,0.264,1,"17","FAM208B"
"PURB",0.000391648031277804,-0.344608016858103,0.022,0.255,1,"17","PURB"
"UFL1",0.000412241647029271,-0.329508261568101,0.044,0.291,1,"17","UFL1"
"YIF1B",0.000423866249145877,0.921548438300902,0.289,0.139,1,"17","YIF1B"
"TUBGCP2",0.000440881217871636,-0.317194264911877,0.044,0.289,1,"17","TUBGCP2"
"ERGIC2",0.000464366809409763,-0.27058480160254,0.067,0.326,1,"17","ERGIC2"
"UBE2Z",0.000473172976880011,-0.295987663043538,0.022,0.259,1,"17","UBE2Z"
"MBTPS1",0.000478827906867474,-0.304328478494316,0.022,0.256,1,"17","MBTPS1"
"ZFC3H1",0.000479772589590716,-0.277862664053597,0.044,0.296,1,"17","ZFC3H1"
"CDK11B",0.000521838175902206,-0.325089657182809,0.044,0.28,1,"17","CDK11B"
"TNRC6A",0.000530165531016515,-0.321998994594697,0.044,0.285,1,"17","TNRC6A"
"NUDT16L1",0.000535253140818082,-0.275024024196176,0.022,0.255,1,"17","NUDT16L1"
"CLK4",0.000537844517812527,-0.31017834623536,0.022,0.251,1,"17","CLK4"
"ALG13",0.000546320701989763,-0.267446826263922,0.022,0.256,1,"17","ALG13"
"CCNG1",0.000605844757963537,0.984051551897904,0.378,0.238,1,"17","CCNG1"
"SRP54",0.000636136152827875,-0.312525809115033,0.067,0.308,1,"17","SRP54"
"GIGYF2",0.000684665320508448,-0.31592174926665,0.044,0.274,1,"17","GIGYF2"
"SARS",0.000798231073839882,-0.283373680352035,0.067,0.315,1,"17","SARS"
"TTC17",0.000810195127793298,-0.318577890618498,0.067,0.301,1,"17","TTC17"
"TMEM183A",0.000844079863259474,-0.306695676021549,0.044,0.266,1,"17","TMEM183A"
"DDX42",0.000898551671074832,-0.298653238568151,0.044,0.267,1,"17","DDX42"
"SUDS3",0.00097496679470276,-0.281383602507597,0.044,0.267,1,"17","SUDS3"
"PMF1",0.00106298905564137,-0.258365102050912,0.044,0.269,1,"17","PMF1"
"VAMP7",0.0010723161407927,0.797036434594262,0.289,0.147,1,"17","VAMP7"
"HUWE1",0.00118599545770568,-0.295546782535402,0.089,0.329,1,"17","HUWE1"
"CCNL2",0.00140871481285107,-0.287316473380563,0.044,0.257,1,"17","CCNL2"
"PLEKHA3",0.00141620799189754,-0.284695711814921,0.044,0.259,1,"17","PLEKHA3"
"BFAR",0.00148446382922674,-0.267995252280448,0.067,0.296,1,"17","BFAR"
"PHF6",0.00161004230679309,-0.258088996670001,0.044,0.256,1,"17","PHF6"
"DHX30",0.00178226579093616,-0.258106492118556,0.044,0.253,1,"17","DHX30"
"CCNH",0.00180664297259294,-0.266493762215694,0.044,0.251,1,"17","CCNH"
"UBQLN1",0.00181618752417023,-0.26381801033237,0.067,0.288,1,"17","UBQLN1"
"ESCO1",0.00193944908313761,-0.260209853124447,0.044,0.252,1,"17","ESCO1"
"POLR2C",0.00219323385522994,-0.275566425431931,0.067,0.276,1,"17","POLR2C"
"PPP6R3",0.00219696486466955,-0.294354975012,0.067,0.272,1,"17","PPP6R3"
"CNIH1",0.00223156966371367,-0.257701997106314,0.067,0.278,1,"17","CNIH1"
"MLH3",0.0028916427778977,1.04396569184263,0.267,0.143,1,"17","MLH3"
"PRKCSH",0.0031721822150665,-0.265840460890018,0.089,0.299,1,"17","PRKCSH"
"AMFR",0.00337986653055928,0.720379254535217,0.267,0.138,1,"17","AMFR"
"PCGF5",0.00483150954107913,1.11434960425597,0.333,0.216,1,"17","PCGF5"
"TST",0.00499450285810839,0.910371801551833,0.289,0.169,1,"17","TST"
"HCG18",0.00537957340182712,-0.260994518946976,0.067,0.251,1,"17","HCG18"
"MOB2",0.0063998007068508,0.679763607598107,0.333,0.216,1,"17","MOB2"
"CNST",0.00812543020040236,0.815460216390971,0.267,0.155,1,"17","CNST"
