"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL7A.9",1.03422141698251e-19,-1.22374897393444,0.511,0.95,2.11239724418677e-15,"17","RPL7A"
"RPS9.11",1.3425664882848e-19,-1.41535265377754,0.333,0.954,2.7421920523217e-15,"17","RPS9"
"RPL10.11",1.42201067742688e-19,-1.3976953946304,0.533,0.957,2.9044568086444e-15,"17","RPL10"
"RPL3.10",1.72793199399335e-19,-1.3934295295776,0.356,0.947,3.52930109773142e-15,"17","RPL3"
"DAP",1.7555392923117e-19,2.17476280623932,0.556,0.149,3.58568900454666e-15,"17","DAP"
"H2AFJ.4",1.94905312692754e-19,2.1537973433519,0.778,0.344,3.98094101174949e-15,"17","H2AFJ"
"RPL19.12",2.07883241297167e-19,-1.30145845032613,0.422,0.957,4.24601520349465e-15,"17","RPL19"
"SCN1B",2.16988887163195e-19,1.52950088759595,0.4,0.073,4.43199802030826e-15,"17","SCN1B"
"TSPAN33",2.31393388052303e-19,1.52643898691007,0.422,0.082,4.72620995096829e-15,"17","TSPAN33"
"CST3.1",2.38025460323775e-19,1.43817489858503,0.511,0.118,4.86167002711311e-15,"17","CST3"
"TSC22D1.9",2.74723164080493e-19,2.98363484546356,0.733,0.304,5.61122062634406e-15,"17","TSC22D1"
"RPL30.9",3.33913138431616e-19,-1.19816806024298,0.489,0.969,6.82017585246576e-15,"17","RPL30"
"RPS3.10",3.39004872009304e-19,-1.32145698747449,0.511,0.952,6.92417451079003e-15,"17","RPS3"
"RPL5.13",3.81027475860202e-19,-1.39199558006308,0.378,0.94,7.78248619444462e-15,"17","RPL5"
"RPS12.11",7.84561928950179e-19,-1.38135817617981,0.467,0.968,1.60246773988074e-14,"17","RPS12"
"RPS7.10",9.27254734709518e-19,-1.23877747254563,0.356,0.956,1.89391779564419e-14,"17","RPS7"
"ACTB.14",9.92794889619469e-19,1.56097735698904,0.978,0.982,2.02778356204776e-14,"17","ACTB"
"RPL6.9",1.09277651577212e-18,-1.25936971697494,0.356,0.953,2.23199603346456e-14,"17","RPL6"
"RPL26.10",1.21643375137569e-18,-1.2238877987495,0.489,0.952,2.48456593718485e-14,"17","RPL26"
"RPL11.12",1.25788367869735e-18,-1.17741224025069,0.467,0.961,2.56922741373934e-14,"17","RPL11"
"RPL39.10",1.62665266407431e-18,-1.25383262458347,0.489,0.977,3.32243806637177e-14,"17","RPL39"
"RPL9.12",1.93402652466729e-18,-1.233385645955,0.4,0.961,3.95024917663294e-14,"17","RPL9"
"SLA2",2.25858288034742e-18,1.03684949396267,0.311,0.045,4.61315553310961e-14,"17","SLA2"
"ZNF778",2.45554643235803e-18,1.17756278511055,0.311,0.047,5.01545358809127e-14,"17","ZNF778"
"RPS27A.9",2.65699270647449e-18,-1.1126712541663,0.511,0.965,5.42690760297415e-14,"17","RPS27A"
"RPS19.11",3.27468529742648e-18,-1.30388049215597,0.422,0.95,6.68854471999358e-14,"17","RPS19"
"CD74.14",3.74480271550595e-18,-2.02566900663766,0.178,0.84,7.6487595464209e-14,"17","CD74"
"F13A1.2",4.36079142748238e-18,1.73556315172377,0.622,0.198,8.90691649063276e-14,"17","F13A1"
"RPS2.10",5.14351023930143e-18,-1.37626868389781,0.444,0.954,1.05056196637732e-13,"17","RPS2"
"RPLP2.7",5.27172609829086e-18,-1.02533394325907,0.444,0.967,1.07675005557591e-13,"17","RPLP2"
"RPS15A.10",7.07700809392372e-18,-1.19362357253526,0.467,0.959,1.44547890318392e-13,"17","RPS15A"
"RPL28.9",8.76497665859207e-18,-1.2238924926784,0.444,0.978,1.79024648251743e-13,"17","RPL28"
"RPL7.10",9.17421637736506e-18,-1.20864527079568,0.378,0.953,1.87383369507681e-13,"17","RPL7"
"EIF3E.11",9.85337447218994e-18,-1.35447776181302,0.2,0.827,2.01255173594479e-13,"17","EIF3E"
"TMSB4X.14",9.95966593888607e-18,1.85667025582786,0.956,0.977,2.03426176801748e-13,"17","TMSB4X"
"XIST.12",1.05742030017163e-17,-1.3464808079732,0.222,0.864,2.15978096310056e-13,"17","XIST"
"GNAS.10",1.13114903251381e-17,1.52814647395052,0.911,0.894,2.31037189890947e-13,"17","GNAS"
"B2M.14",1.19043899466644e-17,1.10515568477514,1,0.994,2.43147164660619e-13,"17","B2M"
"SENCR",1.39310943748731e-17,1.21689514267206,0.311,0.049,2.84542602606784e-13,"17","SENCR"
"RPL13A.12",1.41426167720619e-17,-1.25470486678583,0.467,0.956,2.88862947569364e-13,"17","RPL13A"
"CD226.3",1.42421333856739e-17,1.35516970558961,0.467,0.102,2.9089557440239e-13,"17","CD226"
"SOD2.12",1.8331256487812e-17,1.29016079655785,0.8,0.387,3.7441591376356e-13,"17","SOD2"
"RPL18A.11",1.90443088181534e-17,-1.28228264128094,0.333,0.946,3.88980007610784e-13,"17","RPL18A"
"NOP53.13",1.92504597785704e-17,-1.44778880841478,0.2,0.851,3.93190640977301e-13,"17","NOP53"
"MIR4435-2HG.1",2.2336606305035e-17,1.49444321673517,0.444,0.097,4.5622518378034e-13,"17","MIR4435-2HG"
"RPL32.11",2.94539668830404e-17,-1.20421063109916,0.378,0.961,6.015972735861e-13,"17","RPL32"
"RPS10.9",3.57468301052384e-17,-1.19179660935079,0.333,0.938,7.30129004899494e-13,"17","RPS10"
"TPT1.12",3.98594674833728e-17,-1.09099493783853,0.867,0.991,8.1412962334789e-13,"17","TPT1"
"RPL23.9",4.23536528500269e-17,-1.26376857513186,0.333,0.931,8.650733594618e-13,"17","RPL23"
"CD81.10",4.27385028000984e-17,-1.41903818002918,0.222,0.835,8.72933919692009e-13,"17","CD81"
"BTF3.9",4.49118745083957e-17,-1.20616041173089,0.356,0.911,9.17325036833983e-13,"17","BTF3"
"RPSA.11",5.40571624879184e-17,-1.2495516595919,0.356,0.936,1.10411754381573e-12,"17","RPSA"
"RPL23A.10",6.66456028040476e-17,-1.14405661614284,0.4,0.947,1.36123643727267e-12,"17","RPL23A"
"LAPTM5.12",8.90733441073453e-17,-1.39334321474903,0.222,0.846,1.81932305339253e-12,"17","LAPTM5"
"RPL27.8",1.34377002212753e-16,-1.05776854046154,0.378,0.95,2.74465027019549e-12,"17","RPL27"
"RPS15.9",1.36260099736935e-16,-1.09063447542029,0.444,0.952,2.7831125371269e-12,"17","RPS15"
"MALAT1.8",1.49026952204764e-16,-1.20554681023173,0.556,0.994,3.0438754987823e-12,"17","MALAT1"
"RPL29.10",1.71733852084455e-16,-1.21468616367405,0.356,0.945,3.507663928825e-12,"17","RPL29"
"EIF2AK1.1",1.78693980194813e-16,1.97362354178062,0.667,0.264,3.64982454547905e-12,"17","EIF2AK1"
"PNISR.15",1.84026942790015e-16,-1.14583565937656,0.267,0.869,3.75875030648605e-12,"17","PNISR"
"SF1.9",1.93215867425596e-16,-1.1606986466212,0.178,0.808,3.9464340921678e-12,"17","SF1"
"LUC7L3.15",2.0919657539673e-16,-1.39128988617713,0.133,0.774,4.27284005247822e-12,"17","LUC7L3"
"HLA-A.14",2.19394315576711e-16,1.02868645307256,0.978,0.971,4.48112889565432e-12,"17","HLA-A"
"FERMT3.4",2.39121148359317e-16,1.88599138866338,0.778,0.475,4.88404945523905e-12,"17","FERMT3"
"DBI.11",3.38614951097079e-16,-1.33677654890991,0.156,0.842,6.91621037615784e-12,"17","DBI"
"RPS25.9",4.12388520628632e-16,-1.12389740986115,0.378,0.954,8.42303553383982e-12,"17","RPS25"
"RPL12.7",5.11912170738271e-16,-1.20956162130708,0.267,0.949,1.04558060873292e-11,"17","RPL12"
"ODC1.6",5.74847208784688e-16,2.05449536355872,0.644,0.254,1.17412542394273e-11,"17","ODC1"
"PDLIM1.13",8.8037687743872e-16,1.38063835722169,0.867,0.566,1.79816977216859e-11,"17","PDLIM1"
"RPLP0.11",9.24369324415359e-16,-1.30654371398015,0.356,0.921,1.88802434511837e-11,"17","RPLP0"
"RPL15.10",9.2939083323803e-16,-0.986654887641148,0.622,0.952,1.89828077688868e-11,"17","RPL15"
"RPLP1.10",9.85303676425302e-16,-1.05385835657546,0.711,0.976,2.01248275909868e-11,"17","RPLP1"
"HLA-DPB1.13",1.17955192439823e-15,-1.48567075048889,0.267,0.822,2.40923480558339e-11,"17","HLA-DPB1"
"RPL8.9",1.39231962055704e-15,-1.02391723267133,0.444,0.947,2.84381282498776e-11,"17","RPL8"
"RPL35.8",1.48438054441429e-15,-1.0565169502921,0.333,0.942,3.0318472619662e-11,"17","RPL35"
"RPL14.8",1.52501675362514e-15,-1.07312085641079,0.4,0.943,3.11484671927934e-11,"17","RPL14"
"RPL21.6",1.68804398715694e-15,-1.06209131654574,0.467,0.973,3.44782984376805e-11,"17","RPL21"
